Model,Proj,LatentDim,HiddenDim,BLN,PredRMSE(rad),PredRMSE(deg),PredNRMSE(%),SimRMSE(rad),SimRMSE(deg),SimNRMSE(%)
SHND,,4,32,"[32, 32]",0.006373445503413677,0.36517152830223604,1.340166386216879,0.2477351533683663,14.194178725033549,51.65033972596438
SHND,,4,64,"[32, 64]",0.00657975859940052,0.37699239796055956,1.3698010705411434,0.2002856014437127,11.475519659964046,41.75757544350107
SHND,,4,64,"[64, 64]",0.006416641641408205,0.36764648470058714,1.3111202977597713,0.19949098214540914,11.429991327851605,41.591905145393795
SHND,,4,128,"[64, 128]",0.01530524529516697,0.8769259598255272,3.2129179686307907,84.16790905911859,4822.465959528423,17548.18013438485
SHND,,4,128,"[128, 128]",0.01015516184270382,0.5818479138592249,2.1120350807905197,0.203881125746616,11.681528027657121,42.50720685112684
SHND,,6,32,"[32, 32]",0.014787297695875168,0.8472497483771739,3.0742594972252846,0.42594446965563626,24.404820418206118,88.8052271265535
SHND,,6,64,"[32, 64]",0.0043262760154902935,0.24787735669626818,0.8973167277872562,0.05735678301931546,3.286301593454403,11.958324397066994
SHND,,6,64,"[64, 64]",0.005133228376507759,0.2941123212506861,1.078643649816513,0.09801793607907015,5.6160140539138,20.43577436987307
SHND,,6,128,"[64, 128]",0.010435587726533413,0.5979151334688865,2.156168594956398,0.4757775859775595,27.260047663436815,99.19494111197089
SHND,,6,128,"[128, 128]",0.014313324354588985,0.8200930763197618,2.993241138756275,0.35286449628904315,20.21764637737187,73.56877238758327
SHND,,8,32,"[32, 32]",0.0054688286036252975,0.31334079786815294,1.127332728356123,0.1503230756330789,8.612877797201286,31.34088085414119
SHND,,8,64,"[32, 64]",0.009365556761622429,0.536606875231176,1.9536295905709267,0.16241189819201618,9.305516309110933,33.86128130424438
SHND,,8,64,"[64, 64]",0.007467246614396572,0.42784171558827644,1.557476446032524,0.3452949405798416,19.783942782445468,71.9905945688967
SHND,,8,128,"[64, 128]",0.005406524520367384,0.3097710368510428,1.132260262966156,0.23112907848320588,13.242720719835663,48.18813665275747
SHND,,8,128,"[128, 128]",0.004850265569984913,0.27789974667775014,1.0035708546638489,0.3037245421503074,17.40213439975589,63.323575890943886
SHND,,10,32,"[32, 32]",0.006867959629744291,0.3935051006505794,1.4214190654456615,0.27524675658184206,15.770477476804263,57.3862380555367
SHND,,10,64,"[32, 64]",0.005496271885931492,0.3149131821202839,1.1579887010157108,,,
SHND,,10,64,"[64, 64]",0.011241727508604527,0.6441035406791572,2.297995239496231,265.2063356586586,15195.203733371005,55292.90917336956
SHND,,10,128,"[64, 128]",0.005105804651975632,0.2925410575764658,1.0292183607816696,0.17121203508230257,9.809727012061723,35.69602318014774
SHND,,10,128,"[128, 128]",0.0072661093436181545,0.4163173988698931,1.5330218710005283,0.24702472928833213,14.153474423583127,51.50222330169289
LyaProj,NN-REHU,4,32,"[32, 32]",0.005180376581847668,0.29681371442827903,1.07289245352149,0.15418230331892532,8.833995255780327,32.14549182010057
LyaProj,NN-REHU,4,64,"[32, 64]",0.005786413326859474,0.3315370621473016,1.1993863619863987,0.12492540980687329,7.157698735876064,26.045717651285294
LyaProj,NN-REHU,4,64,"[64, 64]",0.005686523392796516,0.32581379050965403,1.1919884011149406,0.20157560868703822,11.549431630547904,42.026529249453844
LyaProj,NN-REHU,4,128,"[64, 128]",0.007525212597101927,0.4311629217526216,1.5791969373822212,,,
LyaProj,NN-REHU,4,128,"[128, 128]",0.006495657842606306,0.3721737795423949,1.3658568263053894,0.2164891857724078,12.403916654982597,45.13586319950219
LyaProj,NN-REHU,6,32,"[32, 32]",0.00796359684318304,0.4562804888580939,1.6768243163824081,0.2743720045247504,15.720357875812525,57.20386086638749
LyaProj,NN-REHU,6,64,"[32, 64]",0.004944965709000826,0.28332566496266415,1.0282623581588268,0.14050959095730797,8.050606542963303,29.294865944640513
LyaProj,NN-REHU,6,64,"[64, 64]",0.005453844089061022,0.3124822484255676,1.1346003040671349,0.18626148034101803,10.671996709399286,38.833684306278464
LyaProj,NN-REHU,6,128,"[64, 128]",0.004576883278787136,0.26223609519850105,0.9581209160387516,0.1115017199461986,6.388577961366849,23.24701051484236
LyaProj,NN-REHU,6,128,"[128, 128]",0.0064104096964001656,0.36728942055346886,1.3569635339081287,,,
LyaProj,NN-REHU,8,32,"[32, 32]",0.004680504556745291,0.2681731570932553,0.972325075417757,0.09068262994067612,5.195731970747417,18.90643527975756
LyaProj,NN-REHU,8,64,"[32, 64]",0.0065009454265236855,0.372476735784682,1.3747726567089558,0.21911575230571276,12.554407831951277,45.6834764546801
LyaProj,NN-REHU,8,64,"[64, 64]",0.0062382942996919155,0.35742793473286627,1.306096464395523,0.14378517138796168,8.238283477095406,29.977792205781245
LyaProj,NN-REHU,8,128,"[64, 128]",0.004892212804406881,0.2803031461723748,1.0195027105510235,0.12098345849829494,6.931841562848453,25.223859624667096
LyaProj,NN-REHU,8,128,"[128, 128]",0.005330419167876244,0.305410521354945,1.0812769643962383,0.13090858058443863,7.500509169536565,27.29314983480024
LyaProj,NN-REHU,10,32,"[32, 32]",0.007642670534551144,0.43789276583877335,1.6206912696361542,0.21340068285810468,12.226958472979172,44.49194075813922
LyaProj,NN-REHU,10,64,"[32, 64]",0.005484354216605425,0.31423034996626775,1.1371021158993244,0.08502393695632746,4.871512745183949,17.72665352059822
LyaProj,NN-REHU,10,64,"[64, 64]",0.006866282783448696,0.3934090244349497,1.404914353042841,0.1281122808912166,7.340292998861216,26.71014888734984
LyaProj,NN-REHU,10,128,"[64, 128]",0.006792055442929268,0.389156111098706,1.4287627302110195,0.11110201606883398,6.365676616138841,23.163676192785246
LyaProj,NN-REHU,10,128,"[128, 128]",0.012469141744077206,0.7144291960860183,2.575916238129139,0.22248154369922507,12.74725347352099,46.38521081315907
